"Game Number","Team 1","Team 2","Winner","Team 1 is Winner of","Team 2 is Winner of","Team 1 is Loser of","Team 2 is Loser of","Num Ots","Cupdifs"
"89","Nahkaparonit","Birch Bark Alley Official"," "," "," "," "," ","0","0"
"90","Heavenly Peace Gods from Heaven 777","Stralina"," "," "," "," "," ","0","0"
"91","Börsta khæisch","Bollinger"," "," "," "," "," ","0","0"
"92","Super Team Dynamiitti","Nopeet Pongit"," "," "," "," "," ","0","0"
"93","Nettisankarit","Diggoo"," "," "," "," "," ","0","0"
"94","Terhospruits","Corona Storm"," "," "," "," "," ","0","0"
"95","Balotalli & kannettava","Ohuet Pohkeet"," "," "," "," "," ","0","0"
"96","Team Cup Hunters","BPC Niskalima"," "," "," "," "," ","0","0"
"97","Hutsu & Kalu","Tähdenlento"," "," "," "," "," ","0","0"
"98","πber bp","M&A Kotiranta Oy"," "," "," "," "," ","0","0"
"99","Ponteva","Team Khaeisch"," "," "," "," "," ","0","0"
"100","Hold my beer","6-1"," "," "," "," "," ","0","0"
"101","Pätkä & Pätkä","Lieksan juntit"," "," "," "," "," ","0","0"
"102","Beauty and the Beast","Cupittaa :D"," "," "," "," "," ","0","0"
"103","HC Kuppala","Tuli ja Liike"," "," "," "," "," ","0","0"
"104","Juhani&Juhani","Hunajapallot"," "," "," "," "," ","0","0"
"105","Buffalo","Hoitsupong"," "," "," "," "," ","0","0"
"106","Kepän-pojat","Beer Pong Artists"," "," "," "," "," ","0","0"
"107","Lähteenkorvat","VVVH"," "," "," "," "," ","0","0"
"108","Riski ja Tuotto","Rainbow Unicorns"," "," "," "," "," ","0","0"
"109","Beer Hunters","Trashman"," "," "," "," "," ","0","0"
"110","Team","SeveeenOtto"," "," "," "," "," ","0","0"
"111","Menkää Töihin","Pablo sekä ville"," "," "," "," "," ","0","0"
"112","Dynamic Duo","Sjampone"," "," "," "," "," ","0","0"
"113","Verkot on tulevaisuus","Ajokunto"," "," "," "," "," ","0","0"
"114","Pienet Pallerot","Tää :D"," "," "," "," "," ","0","0"
"115","Pyhän Katariinan Neitsyet","Fibeli"," "," "," "," "," ","0","0"
"116","DicciHiiret","LePi"," "," "," "," "," ","0","0"
"117","Game of throws","GSU Darras Taas"," "," "," "," "," ","0","0"
"118","Kohtuporat","Star Frame"," "," "," "," "," ","0","0"
"119","Hole in one","Lpr Mombasa"," "," "," "," "," ","0","0"
"120","Bergans","Veli Auta!"," "," "," "," "," ","0","0"
"121","BJs","Salotie"," "," "," "," "," ","0","0"
"122","Team Lokki","El Farso"," "," "," "," "," ","0","0"
"123","Pharmabong","Thibot"," "," "," "," "," ","0","0"
"124","Bolt Throwers","ikikinq"," "," "," "," "," ","0","0"
"125","Pöydänpään karvaajat","MiNi"," "," "," "," "," ","0","0"
"126","Longshot Strike Bois","KOFF"," "," "," "," "," ","0","0"
"127","Spurgos","Oldies But Goldies"," "," "," "," "," ","0","0"
"128","Kim Pong-un","Siwzzfinnishboys"," "," "," "," "," ","0","0"
"129","Squirrel barrel","Los PilluMatadorit"," "," "," "," "," ","0","0"
"130","Pehmeät jänikset","Mug Riders"," "," "," "," "," ","0","0"
"131","Tehotytöt","Kill Shot"," "," "," "," "," ","0","0"
"132","PP","OG-Pöllötin"," "," "," "," "," ","0","0"
"133","Helppoo ja Kivaa","one shot one kill"," "," "," "," "," ","0","0"
"134","Last Warning","Muna ja Kana"," "," "," "," "," ","0","0"
"135","Brunchies","Stay hydrated"," "," "," "," "," ","0","0"
"136","Birch Bark Alley Official","Q_Q"," "," "," "," "," ","0","0"
"137","Stralina","Tuttisuut"," "," "," "," "," ","0","0"
"138","Bollinger","Nahkaparonit"," "," "," "," "," ","0","0"
"139","Nopeet Pongit","Heavenly Peace Gods from Heaven 777"," "," "," "," "," ","0","0"
"140","Diggoo","Börsta khæisch"," "," "," "," "," ","0","0"
"141","Corona Storm","Super Team Dynamiitti"," "," "," "," "," ","0","0"
"142","Ohuet Pohkeet","Nettisankarit"," "," "," "," "," ","0","0"
"143","BPC Niskalima","Terhospruits"," "," "," "," "," ","0","0"
"144","Team Cup Hunters","Balotalli & kannettava"," "," "," "," "," ","0","0"
"145","πber bp","Hutsu & Kalu"," "," "," "," "," ","0","0"
"146","Tähdenlento","Ponteva"," "," "," "," "," ","0","0"
"147","M&A Kotiranta Oy","Hold my beer"," "," "," "," "," ","0","0"
"148","Team Khaeisch","Pätkä & Pätkä"," "," "," "," "," ","0","0"
"149","6-1","Beauty and the Beast"," "," "," "," "," ","0","0"
"150","Lieksan juntit","HC Kuppala"," "," "," "," "," ","0","0"
